"prtage","pesex","ptdtrace","pehspnon","prcitshp","peeduca","work"
35,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
41,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
53,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
21,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
45,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
33,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
34,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
39,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
22,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
25,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
37,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
44,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
32,"MALE","White Only","NON-HISPANIC","FOREIGN BORN, U.S. CITIZEN BY","ASSOCIATE DEGREE-ACADEMIC","flexible"
34,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","flexible"
43,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
57,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
38,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
50,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
32,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","ASSOCIATE DEGREE-OCCUPATIONAL/","flexible"
52,"MALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
26,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
62,"FEMALE","Black Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","not flexible"
39,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","flexible"
30,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
58,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
65,"MALE","White-AI","HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
66,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","not flexible"
46,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","not flexible"
40,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","MASTER'S DEGREE (EX: MA, MS,","not flexible"
67,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","not flexible"
51,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","PROFESSIONAL SCHOOL DEG","not flexible"
80,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
32,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","11TH GRADE","flexible"
49,"MALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","BACHELOR'S DEGREE","not flexible"
35,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","SOME COLLEGE BUT NO DEGREE","flexible"
38,"FEMALE","White Only","NON-HISPANIC","NATIVE, BORN IN THE UNITED","HIGH SCHOOL GRAD-DIPLOMA OR","flexible"
